Replicate	Clone	population	infection_status	birth_date	maturity_date	age_mat	bodysize_mat	bodysize_mat_mm	headsize_mat	bodyhead_ratio	firstclutch_date	age_firstcl	firstcl_offspr	secondcl_date	age_secondcl	secondcl_offspr	thirdcl_date	age_thirdcl	thirdcl_offspr	bodysize_thirdcl	bodysize_thirdcl_mm	growth_mat_to_thirdcl_mm	Rnaught	tot_offsp_deadexcl
2	SK-58-15	SK-58	infected	29.06.2015	09.07.2015	10	8.5	2.786885246	1.6	5.3125	12.07.2015	13	12	15.07.2015	16	26	18.07.2015	19	35	11.7	3.836065574	1.049180328	73	73
3	SK-58-15	SK-58	infected	29.06.2015	11.07.2015	12	8.5	2.786885246	1.6	5.3125	14.07.2015	15	13	17.07.2015	18	27	20.07.2015	21	26	11.8	3.868852459	1.081967213	66	66
4	SK-58-15	SK-58	infected	23.06.2015	01.07.2015	8	7.5	2.459016393	1.4	5.357142857	04.07.2015	11	10	07.07.2015	14	18	10.07.2015	17	30	10.5	3.442622951	0.983606557	58	58
5	SK-58-15	SK-58	infected	25.06.2015	02.07.2015	7	7.5	2.459016393	1.5	5	05.07.2015	10	10	08.07.2015	13	17	11.07.2015	16	22	11	3.606557377	1.147540984	49	49
1	SK-58-5	SK-58	infected	27.06.2015	05.07.2015	8	7	2.295081967	1.4	5	08.07.2015	11	5	11.07.2015	14	16	15.07.2015	18	25	10.6	3.475409836	1.180327869	46	46
2	SK-58-5	SK-58	infected	20.06.2015	29.06.2015	9	7.3	2.393442623	1.4	5.214285714	02.07.2015	12	9	05.07.2015	15	18	08.07.2015	18	25	10.8	3.540983607	1.147540984	52	52
3	SK-58-5	SK-58	infected	23.06.2015	30.06.2015	7	8.1	2.655737705	1.6	5.0625	03.07.2015	10	11	06.07.2015	13	20	09.07.2015	16	30	11.5	3.770491803	1.114754098	61	61
4	SK-58-5	SK-58	infected	23.06.2015	01.07.2015	8	7.4	2.426229508	1.6	4.625	04.07.2015	11	6	07.07.2015	14	13	10.07.2015	17	25	10.6	3.475409836	1.049180328	44	44
5	SK-58-5	SK-58	infected	23.06.2015	01.07.2015	8	7.5	2.459016393	1.5	5	04.07.2015	11	11	07.07.2015	14	14	10.07.2015	17	28	10.9	3.573770492	1.114754098	53	53
1	SK-58-1	SK-58	infected	20.06.2015	28.06.2015	8	8.8	2.885245902	1.6	5.5	01.07.2015	11	18	04.07.2015	14	29	07.07.2015	17	35	11.5	3.770491803	0.885245902	82	82
2	SK-58-1	SK-58	infected	27.06.2015	06.07.2015	9	9.3	3.049180328	1.8	5.166666667	09.07.2015	12	18	12.07.2015	15	39	16.07.2015	19	36	11.8	3.868852459	0.819672131	93	93
3	SK-58-1	SK-58	infected	26.06.2015	06.07.2015	10	8.6	2.819672131	1.7	5.058823529	09.07.2015	13	12	12.07.2015	16	26	15.07.2015	19	36	11.7	3.836065574	1.016393443	74	74
4	SK-58-1	SK-58	infected	26.06.2015	06.07.2015	10	8.8	2.885245902	1.7	5.176470588	09.07.2015	13	11	13.07.2015	17	24	16.07.2015	20	40	11.5	3.770491803	0.885245902	75	75
5	SK-58-1	SK-58	infected	22.06.2015	30.06.2015	8	7.7	2.524590164	1.4	5.5	03.07.2015	11	9	06.07.2015	14	22	10.07.2015	18	32	11.3	3.704918033	1.180327869	63	63
1	SK-58-13	SK-58	infected	23.06.2015	01.07.2015	8	7.2	2.360655738	1.4	5.142857143	04.07.2015	11	6	07.07.2015	14	9	11.07.2015	18	22	11	3.606557377	1.245901639	37	37
2	SK-58-13	SK-58	infected	26.06.2015	07.07.2015	11	8.3	2.721311475	1.4	5.928571429	11.07.2015	15	9	14.07.2015	18	5	17.07.2015	21	34	11.2	3.672131148	0.950819672	48	48
3	SK-58-13	SK-58	infected	21.06.2015	30.06.2015	9	7.6	2.491803279	1.4	5.428571429	03.07.2015	12	8	06.07.2015	15	3	09.07.2015	18	19	10.8	3.540983607	1.049180328	30	30
4	SK-58-13	SK-58	infected	23.06.2015	02.07.2015	9	7.2	2.360655738	1.5	4.8	04.07.2015	11	5	08.07.2015	15	12	11.07.2015	18	21	10.4	3.409836066	1.049180328	38	38
5	SK-58-13	SK-58	infected	22.06.2015	01.07.2015	9	7.1	2.327868852	1.4	5.071428571	04.07.2015	12	4	07.07.2015	15	5	10.07.2015	18	20	10.6	3.475409836	1.147540984	29	29
1	SK-58-16	SK-58	infected	29.06.2015	09.07.2015	10	8.6	2.819672131	1.6	5.375	12.07.2015	13	14	14.07.2015	15	25	18.07.2015	19	15	12.1	3.967213115	1.147540984	54	54
2	SK-58-16	SK-58	infected	22.06.2015	02.07.2015	10	8.2	2.68852459	1.6	5.125	05.07.2015	13	12	08.07.2015	16	24	12.07.2015	20	27	11.7	3.836065574	1.147540984	63	63
3	SK-58-16	SK-58	infected	27.06.2015	06.07.2015	9	7.5	2.459016393	1.5	5	09.07.2015	12	5	12.07.2015	15	17	15.07.2015	18	26	11.2	3.672131148	1.213114754	48	48
4	SK-58-16	SK-58	infected	22.06.2015	01.07.2015	9	7.8	2.557377049	1.6	4.875	04.07.2015	12	11	07.07.2015	15	15	10.07.2015	18	23	10.7	3.508196721	0.950819672	49	49
5	SK-58-16	SK-58	infected	23.06.2015	01.07.2015	8	8	2.62295082	1.6	5	04.07.2015	11	9	07.07.2015	14	21	11.07.2015	18	33	11.8	3.868852459	1.245901639	63	63
1	SK-58-9	SK-58	infected	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	SK-58-9	SK-58	infected	22.06.2015	30.06.2015	8	7.6	2.491803279	1.5	5.066666667	03.07.2015	11	8	07.07.2015	15	19	10.07.2015	18	26	10.6	3.475409836	0.983606557	53	53
3	SK-58-9	SK-58	infected	29.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	SK-58-9	SK-58	infected	24.06.2015	06.07.2015	12	8	2.62295082	1.6	5	09.07.2015	15	8	12.07.2015	18	4	15.07.2015	21	23	10.8	3.540983607	0.918032787	35	35
5	SK-58-9	SK-58	infected	23.06.2015	02.07.2015	9	7.3	2.393442623	1.5	4.866666667	05.07.2015	12	3	12.07.2015	19	3	15.07.2015	22	15	10.7	3.508196721	1.114754098	21	21
1	SK-58-6	SK-58	infected	21.06.2015	29.06.2015	8	6.6	2.163934426	1.4	4.714285714	02.07.2015	11	4	05.07.2015	14	9	09.07.2015	18	20	10.6	3.475409836	1.31147541	33	33
2	SK-58-6	SK-58	infected	21.06.2015	01.07.2015	10	8.1	2.655737705	1.6	5.0625	04.07.2015	13	12	07.07.2015	16	22	11.07.2015	20	27	11	3.606557377	0.950819672	61	61
3	SK-58-6	SK-58	infected	23.06.2015	30.06.2015	7	6.9	2.262295082	1.4	4.928571429	03.07.2015	10	6	06.07.2015	13	12	09.07.2015	16	21	11.1	3.639344262	1.37704918	39	39
4	SK-58-6	SK-58	infected	23.06.2015	05.07.2015	12	8	2.62295082	1.5	5.333333333	08.07.2015	15	9	11.07.2015	18	24	14.07.2015	21	32	11.3	3.704918033	1.081967213	65	65
5	SK-58-6	SK-58	infected	23.06.2015	04.07.2015	11	7.4	2.426229508	1.3	5.692307692	07.07.2015	14	6	10.07.2015	17	22	14.07.2015	21	33	11.1	3.639344262	1.213114754	61	61
1	N-62-5	N-62	infected	25.06.2015	03.07.2015	8	8.8	2.885245902	1.7	5.176470588	06.07.2015	11	12	09.07.2015	14	25	13.07.2015	18	32	11.9	3.901639344	1.016393443	69	69
2	N-62-5	N-62	infected	22.06.2015	30.06.2015	8	7.9	2.590163934	1.5	5.266666667	03.07.2015	11	6	06.07.2015	14	19	09.07.2015	17	28	10.4	3.409836066	0.819672131	53	53
3	N-62-5	N-62	infected	26.06.2015	05.07.2015	9	7.8	2.557377049	1.5	5.2	08.07.2015	12	8	11.07.2015	15	20	15.07.2015	19	30	11.5	3.770491803	1.213114754	58	58
4	N-62-5	N-62	infected	27.06.2015	07.07.2015	10	7.8	2.557377049	1.5	5.2	10.07.2015	13	9	13.07.2015	16	15	16.07.2015	19	22	11.1	3.639344262	1.081967213	46	46
5	N-62-5	N-62	infected	21.06.2015	29.06.2015	8	8.6	2.819672131	1.6	5.375	02.07.2015	11	12	06.07.2015	15	20	08.07.2015	17	28	11.7	3.836065574	1.016393443	60	60
1	N-62-15	N-62	infected	22.06.2015	30.06.2015	8	8.1	2.655737705	1.6	5.0625	03.07.2015	11	13	05.07.2015	13	21	08.07.2015	16	23	11.1	3.639344262	0.983606557	57	57
2	N-62-15	N-62	infected	22.06.2015	28.06.2015	6	7.3	2.393442623	1.5	4.866666667	01.07.2015	9	10	04.07.2015	12	19	07.07.2015	15	25	11	3.606557377	1.213114754	54	54
3	N-62-15	N-62	infected	26.06.2015	04.07.2015	8	7	2.295081967	1.5	4.666666667	07.07.2015	11	4	10.07.2015	14	19	13.07.2015	17	27	10.9	3.573770492	1.278688525	50	50
4	N-62-15	N-62	infected	22.06.2015	30.06.2015	8	8	2.62295082	1.6	5	03.07.2015	11	13	06.07.2015	14	22	09.07.2015	17	27	10.8	3.540983607	0.918032787	62	62
5	N-62-15	N-62	infected	24.06.2015	03.07.2015	9	8.1	2.655737705	1.6	5.0625	06.07.2015	12	9	10.07.2015	16	20	13.07.2015	19	22	10.7	3.508196721	0.852459016	51	51
1	N-62-8	N-62	infected	28.06.2015	06.07.2015	8	7.7	2.524590164	1.5	5.133333333	09.07.2015	11	8	12.07.2015	14	17	15.07.2015	17	24	11	3.606557377	1.081967213	49	49
2	N-62-8	N-62	infected	23.06.2015	01.07.2015	8	7.2	2.360655738	1.4	5.142857143	04.07.2015	11	5	07.07.2015	14	14	10.07.2015	17	22	11	3.606557377	1.245901639	41	41
3	N-62-8	N-62	infected	28.06.2015	05.07.2015	7	7.5	2.459016393	1.5	5	08.07.2015	10	8	12.07.2015	14	15	15.07.2015	17	24	10.8	3.540983607	1.081967213	47	47
4	N-62-8	N-62	infected	27.06.2015	06.07.2015	9	7.3	2.393442623	1.4	5.214285714	09.07.2015	12	4	12.07.2015	15	12	15.07.2015	18	19	10.8	3.540983607	1.147540984	35	35
5	N-62-8	N-62	infected	24.06.2015	03.07.2015	9	7	2.295081967	1.5	4.666666667	06.07.2015	12	6	09.07.2015	15	13	13.07.2015	19	20	10.5	3.442622951	1.147540984	39	39
1	N-62-11	N-62	infected	24.06.2015	03.07.2015	9	7.6	2.491803279	1.5	5.066666667	06.07.2015	12	8	09.07.2015	15	17	12.07.2015	18	25	11.2	3.672131148	1.180327869	50	50
2	N-62-11	N-62	infected	23.06.2015	01.07.2015	8	7.4	2.426229508	1.5	4.933333333	04.07.2015	11	7	07.07.2015	14	13	10.07.2015	17	12	10.3	3.37704918	0.950819672	32	32
3	N-62-11	N-62	infected	25.06.2015	03.07.2015	8	7.9	2.590163934	1.5	5.266666667	06.07.2015	11	9	09.07.2015	14	19	12.07.2015	17	29	11	3.606557377	1.016393443	57	57
4	N-62-11	N-62	infected	23.06.2015	03.07.2015	10	7.3	2.393442623	1.5	4.866666667	07.07.2015	14	4	09.07.2015	16	16	13.07.2015	20	22	11.4	3.737704918	1.344262295	42	42
5	N-62-11	N-62	infected	22.06.2015	01.07.2015	9	8.4	2.754098361	1.6	5.25	04.07.2015	12	11	07.07.2015	15	14	11.07.2015	19	21	11.1	3.639344262	0.885245902	46	46
1	N-62-3	N-62	infected	21.06.2015	29.06.2015	8	7.5	2.459016393	1.5	5	02.07.2015	11	10	08.07.2015	17	22	12.07.2015	21	30	11.8	3.868852459	1.409836066	62	62
2	N-62-3	N-62	infected	22.06.2015	30.06.2015	8	7.2	2.360655738	1.5	4.8	03.07.2015	11	6	06.07.2015	14	16	09.07.2015	17	24	10.8	3.540983607	1.180327869	46	46
3	N-62-3	N-62	infected	23.06.2015	01.07.2015	8	7.9	2.590163934	1.7	4.647058824	04.07.2015	11	8	07.07.2015	14	16	11.07.2015	18	24	11.1	3.639344262	1.049180328	48	48
4	N-62-3	N-62	infected	21.06.2015	29.06.2015	8	6.7	2.196721311	1.4	4.785714286	02.07.2015	11	6	05.07.2015	14	12	08.07.2015	17	23	10.5	3.442622951	1.245901639	41	41
5	N-62-3	N-62	infected	21.06.2015	29.06.2015	8	7.9	2.590163934	1.5	5.266666667	01.07.2015	10	15	05.07.2015	14	20	08.07.2015	17	28	11.7	3.836065574	1.245901639	63	63
1	N-62-1	N-62	infected	26.06.2015	03.07.2015	7	7.3	2.393442623	1.4	5.214285714	06.07.2015	10	7	09.07.2015	13	14	12.07.2015	16	26	11.5	3.770491803	1.37704918	47	47
2	N-62-1	N-62	infected	20.06.2015	26.06.2015	6	7.9	2.590163934	1.4	5.642857143	29.06.2015	9	10	03.07.2015	13	22	06.07.2015	16	31	12	3.93442623	1.344262295	63	63
3	N-62-1	N-62	infected	20.06.2015	28.06.2015	8	9.2	3.016393443	1.7	5.411764706	01.07.2015	11	19	04.07.2015	14	31	08.07.2015	18	28	9.6	4.085106383	1.06871294	78	78
4	N-62-1	N-62	infected	21.06.2015	29.06.2015	8	8.5	2.786885246	1.6	5.3125	02.07.2015	11	11	06.07.2015	15	20	08.07.2015	17	27	11.8	3.868852459	1.081967213	58	58
5	N-62-1	N-62	infected	22.06.2015	30.06.2015	8	8.3	2.721311475	1.7	4.882352941	03.07.2015	11	10	06.07.2015	14	23	09.07.2015	17	29	11.2	3.672131148	0.950819672	62	62
1	N-62-6	N-62	infected	22.06.2015	30.06.2015	8	7.1	2.327868852	1.5	4.733333333	03.07.2015	11	6	06.07.2015	14	16	09.07.2015	17	23	10.5	3.442622951	1.114754098	45	45
2	N-62-6	N-62	infected	27.06.2015	05.07.2015	8	7.5	2.459016393	1.6	4.6875	08.07.2015	11	8	11.07.2015	14	18	15.07.2015	18	25	11.2	3.672131148	1.213114754	51	51
3	N-62-6	N-62	infected	24.06.2015	05.07.2015	11	8.1	2.655737705	1.6	5.0625	08.07.2015	14	8	11.07.2015	17	22	15.07.2015	21	31	11.2	3.672131148	1.016393443	61	61
4	N-62-6	N-62	infected	26.06.2015	03.07.2015	7	7.6	2.491803279	1.5	5.066666667	06.07.2015	10	9	09.07.2015	13	18	13.07.2015	17	25	11	3.606557377	1.114754098	52	52
5	N-62-6	N-62	infected	22.06.2015	02.07.2015	10	8.5	2.786885246	1.6	5.3125	05.07.2015	13	13	08.07.2015	16	22	12.07.2015	20	27	11.6	3.803278689	1.016393443	62	62
1	N-41-2	N-41	uninfected	25.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	N-41-2	N-41	uninfected	21.06.2015	30.06.2015	9	7.2	2.360655738	1.4	5.142857143	03.07.2015	12	6	06.07.2015	15	13	09.07.2015	18	18	10.2	3.344262295	0.983606557	37	37
3	N-41-2	N-41	uninfected	25.06.2015	04.07.2015	9	7.8	2.557377049	1.5	5.2	07.07.2015	12	4	10.07.2015	15	16	13.07.2015	18	18	10.1	3.31147541	0.754098361	38	38
4	N-41-2	N-41	uninfected	21.06.2015	29.06.2015	8	7.5	2.459016393	1.5	5	03.07.2015	12	8	06.07.2015	15	14	09.07.2015	18	15	9.1	2.983606557	0.524590164	37	37
5	N-41-2	N-41	uninfected	21.06.2015	29.06.2015	8	8.4	2.754098361	1.5	5.6	02.07.2015	11	14	05.07.2015	14	16	08.07.2015	17	23	10.8	3.540983607	0.786885246	53	53
1	N-41-5	N-41	uninfected	21.06.2015	29.06.2015	8	8	2.62295082	1.4	5.714285714	02.07.2015	11	9	05.07.2015	14	11	08.07.2015	17	18	10.9	3.573770492	0.950819672	38	38
2	N-41-5	N-41	uninfected	25.06.2015	04.07.2015	9	8	2.62295082	1.5	5.333333333	07.07.2015	12	6	10.07.2015	15	15	13.07.2015	18	20	10.4	3.409836066	0.786885246	41	41
3	N-41-5	N-41	uninfected	23.06.2015	02.07.2015	9	7.2	2.360655738	1.4	5.142857143	05.07.2015	12	4	08.07.2015	15	13	12.07.2015	19	19	10.2	3.344262295	0.983606557	36	36
4	N-41-5	N-41	uninfected	26.06.2015	05.07.2015	9	7.2	2.360655738	1.4	5.142857143	08.07.2015	12	4	11.07.2015	15	11	14.07.2015	18	16	10.2	3.344262295	0.983606557	31	31
5	N-41-5	N-41	uninfected	24.06.2015	04.07.2015	10	7.2	2.360655738	1.4	5.142857143	07.07.2015	13	7	10.07.2015	16	11	14.07.2015	20	16	10	3.278688525	0.918032787	34	34
1	N-41-4	N-41	uninfected	23.06.2015	01.07.2015	8	7.7	2.524590164	1.5	5.133333333	04.07.2015	11	7	08.07.2015	15	12	11.07.2015	18	20	10.5	3.442622951	0.918032787	39	39
2	N-41-4	N-41	uninfected	23.06.2015	01.07.2015	8	7.9	2.590163934	1.5	5.266666667	04.07.2015	11	7	07.07.2015	14	17	11.07.2015	18	22	11	3.606557377	1.016393443	46	46
3	N-41-4	N-41	uninfected	23.06.2015	01.07.2015	8	7.7	2.524590164	1.5	5.133333333	04.07.2015	11	5	08.07.2015	15	16	11.07.2015	18	22	10.9	3.573770492	1.049180328	43	43
4	N-41-4	N-41	uninfected	23.06.2015	01.07.2015	8	7.7	2.524590164	1.5	5.133333333	04.07.2015	11	8	07.07.2015	14	8	10.07.2015	17	21	10.4	3.409836066	0.885245902	37	37
5	N-41-4	N-41	uninfected	22.06.2015	30.06.2015	8	8.2	2.68852459	1.6	5.125	03.07.2015	11	10	06.07.2015	14	18	09.07.2015	17	21	11.2	3.672131148	0.983606557	49	49
1	N-41-3	N-41	uninfected	23.06.2015	03.07.2015	10	7.5	2.459016393	1.4	5.357142857	06.07.2015	13	7	09.07.2015	16	12	13.07.2015	20	15	10.2	3.344262295	0.885245902	34	34
2	N-41-3	N-41	uninfected	25.06.2015	04.07.2015	9	7.8	2.557377049	1.5	5.2	07.07.2015	12	7	10.07.2015	15	15	13.07.2015	18	22	10.5	3.442622951	0.885245902	44	44
3	N-41-3	N-41	uninfected	23.06.2015	02.07.2015	9	7	2.295081967	1.4	5	05.07.2015	12	7	08.07.2015	15	12	11.07.2015	18	16	9.8	3.213114754	0.918032787	35	35
4	N-41-3	N-41	uninfected	21.06.2015	29.06.2015	8	7.2	2.360655738	1.5	4.8	03.07.2015	12	6	06.07.2015	15	14	09.07.2015	18	19	10.3	3.37704918	1.016393443	39	39
5	N-41-3	N-41	uninfected	22.06.2015	30.06.2015	8	7.9	2.590163934	1.6	4.9375	03.07.2015	11	11	06.07.2015	14	17	09.07.2015	17	20	10.4	3.409836066	0.819672131	48	48
1	N-41-9	N-41	uninfected	22.06.2015	30.06.2015	8	8.6	2.819672131	1.7	5.058823529	03.07.2015	11	5	07.07.2015	15	4	22.07.2015	30	25	9.8	3.213114754	0.393442623	34	34
2	N-41-9	N-41	uninfected	27.06.2015	05.07.2015	8	7.7	2.524590164	1.6	4.8125	08.07.2015	11	6	12.07.2015	15	8	15.07.2015	18	19	10.6	3.475409836	0.950819672	33	33
3	N-41-9	N-41	uninfected	23.06.2015	01.07.2015	8	7.6	2.491803279	1.5	5.066666667	04.07.2015	11	6	11.07.2015	18	14	14.07.2015	21	21	11.6	3.803278689	1.31147541	41	41
4	N-41-9	N-41	uninfected	25.06.2015	02.07.2015	7	7.7	2.524590164	1.6	4.8125	05.07.2015	10	4	08.07.2015	13	15	11.07.2015	DEAD	NA	NA	NA	NA	19	NA
5	N-41-9	N-41	uninfected	23.06.2015	01.07.2015	8	8.6	2.819672131	1.7	5.058823529	04.07.2015	11	13	07.07.2015	14	13	11.07.2015	18	26	11.3	3.704918033	0.885245902	52	52
1	N-41-10	N-41	uninfected	20.06.2015	28.06.2015	8	9.2	3.016393443	1.7	5.411764706	01.07.2015	11	21	04.07.2015	14	22	07.07.2015	17	30	11.9	3.901639344	0.885245902	73	73
2	N-41-10	N-41	uninfected	23.06.2015	02.07.2015	9	7.2	2.360655738	1.5	4.8	05.07.2015	12	7	08.07.2015	15	13	11.07.2015	18	18	10.5	3.442622951	1.081967213	38	38
3	N-41-10	N-41	uninfected	22.06.2015	30.06.2015	8	7.5	2.459016393	1.5	5	03.07.2015	11	8	06.07.2015	14	15	09.07.2015	17	16	9.9	3.245901639	0.786885246	39	39
4	N-41-10	N-41	uninfected	22.06.2015	30.06.2015	8	8.1	2.655737705	1.6	5.0625	03.07.2015	11	14	06.07.2015	14	19	09.07.2015	17	21	11	3.606557377	0.950819672	54	54
5	N-41-10	N-41	uninfected	21.06.2015	29.06.2015	8	8.4	2.754098361	1.6	5.25	02.07.2015	11	11	06.07.2015	15	14	09.07.2015	18	26	10.7	3.508196721	0.754098361	51	51
1	N-27-5	N-27	infected	23.06.2015	01.07.2015	8	7.5	2.459016393	1.6	4.6875	04.07.2015	11	9	07.07.2015	14	15	10.07.2015	17	28	11.3	3.704918033	1.245901639	52	52
2	N-27-5	N-27	infected	22.06.2015	30.06.2015	8	8.3	2.721311475	1.5	5.533333333	03.07.2015	11	13	06.07.2015	14	19	09.07.2015	17	33	11.1	3.639344262	0.918032787	65	65
3	N-27-5	N-27	infected	24.06.2015	04.07.2015	10	7.2	2.360655738	1.5	4.8	07.07.2015	13	5	10.07.2015	16	20	14.07.2015	20	27	11.1	3.639344262	1.278688525	52	52
4	N-27-5	N-27	infected	24.06.2015	02.07.2015	8	7.4	2.426229508	1.5	4.933333333	05.07.2015	11	6	08.07.2015	14	12	12.07.2015	18	31	11	3.606557377	1.180327869	49	49
5	N-27-5	N-27	infected	27.06.2015	05.07.2015	8	7.6	2.491803279	1.5	5.066666667	08.07.2015	11	7	11.07.2015	14	18	14.07.2015	17	27	10.7	3.508196721	1.016393443	52	52
1	N-27-6	N-27	infected	22.06.2015	30.06.2015	8	8.6	2.819672131	1.6	5.375	03.07.2015	11	12	06.07.2015	14	25	09.07.2015	17	28	11.7	3.836065574	1.016393443	65	65
2	N-27-6	N-27	infected	22.06.2015	30.06.2015	8	8.3	2.721311475	1.6	5.1875	03.07.2015	11	13	06.07.2015	14	23	09.07.2015	17	24	11.7	3.836065574	1.114754098	60	60
3	N-27-6	N-27	infected	26.06.2015	04.07.2015	8	8	2.62295082	1.6	5	07.07.2015	11	8	10.07.2015	14	23	14.07.2015	18	30	11.8	3.868852459	1.245901639	61	61
4	N-27-6	N-27	infected	26.06.2015	04.07.2015	8	7.4	2.426229508	1.6	4.625	07.07.2015	11	3	10.07.2015	14	18	13.07.2015	17	27	11.2	3.672131148	1.245901639	48	48
5	N-27-6	N-27	infected	22.06.2015	30.06.2015	8	8.4	2.754098361	1.6	5.25	03.07.2015	11	11	06.07.2015	14	25	09.07.2015	17	21	11.5	3.770491803	1.016393443	57	57
1	N-27-7	N-27	infected	30.06.2015	13.07.2015	13	11.2	3.672131148	2.1	5.333333333	16.07.2015	16	14	19.07.2015	19	25	23.07.2015	23	8	9.7	4.127659574	0.455528427	47	47
2	N-27-7	N-27	infected	27.06.2015	07.07.2015	10	10	3.278688525	2	5	11.07.2015	14	2	14.07.2015	17	9	17.07.2015	20	19	9.7	4.127659574	0.84897105	30	30
3	N-27-7	N-27	infected	24.06.2015	03.07.2015	9	8.3	2.721311475	1.6	5.1875	06.07.2015	12	1	10.07.2015	16	6	13.07.2015	19	8	11.6	3.803278689	1.081967213	15	15
4	N-27-7	N-27	infected	29.06.2015	14.07.2015	15	10.2	3.344262295	1.7	6	17.07.2015	18	6	20.07.2015	21	20	23.07.2015	24	9	11.4	3.737704918	0.393442623	35	35
5	N-27-7	N-27	infected	29.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	N-27-10	N-27	infected	23.06.2015	01.07.2015	8	7.9	2.590163934	1.6	4.9375	04.07.2015	11	11	07.07.2015	14	20	10.07.2015	17	32	11.2	3.672131148	1.081967213	63	63
2	N-27-10	N-27	infected	23.06.2015	01.07.2015	8	7.8	2.557377049	1.6	4.875	04.07.2015	11	9	07.07.2015	14	19	10.07.2015	17	31	11.4	3.737704918	1.180327869	59	59
3	N-27-10	N-27	infected	21.06.2015	29.06.2015	8	8.7	2.852459016	1.5	5.8	02.07.2015	11	15	05.07.2015	14	29	08.07.2015	17	27	11.3	3.704918033	0.852459016	71	71
4	N-27-10	N-27	infected	25.06.2015	03.07.2015	8	8.8	2.885245902	1.7	5.176470588	06.07.2015	11	11	10.07.2015	15	25	13.07.2015	18	31	11.6	3.803278689	0.918032787	67	67
5	N-27-10	N-27	infected	25.06.2015	02.07.2015	7	7.9	2.590163934	1.6	4.9375	05.07.2015	10	10	08.07.2015	13	21	11.07.2015	16	12	11.2	3.672131148	1.081967213	43	43
1	N-27-2	N-27	infected	23.06.2015	02.07.2015	9	9.1	2.983606557	1.7	5.352941176	05.07.2015	12	2	15.07.2015	22	19	18.07.2015	25	5	10.9	4.638297872	1.654691315	26	26
2	N-27-2	N-27	infected	23.06.2015	01.07.2015	8	7.9	2.590163934	1.6	4.9375	04.07.2015	11	9	07.07.2015	14	15	10.07.2015	17	27	11	3.606557377	1.016393443	51	51
3	N-27-2	N-27	infected	23.06.2015	01.07.2015	8	7.8	2.557377049	1.6	4.875	04.07.2015	11	10	07.07.2015	14	14	10.07.2015	17	25	10.7	3.508196721	0.950819672	49	49
4	N-27-2	N-27	infected	26.06.2015	04.07.2015	8	8.1	2.655737705	1.6	5.0625	08.07.2015	12	8	11.07.2015	15	19	14.07.2015	18	23	10.9	3.573770492	0.918032787	50	50
5	N-27-2	N-27	infected	23.06.2015	01.07.2015	8	7.6	2.491803279	1.5	5.066666667	04.07.2015	11	8	07.07.2015	14	14	10.07.2015	17	26	10.8	3.540983607	1.049180328	48	48
1	N-27-4	N-27	infected	24.06.2015	03.07.2015	9	8.6	2.819672131	1.6	5.375	04.07.2015	10	11	09.07.2015	15	17	12.07.2015	18	27	11.4	3.737704918	0.918032787	55	55
2	N-27-4	N-27	infected	23.06.2015	01.07.2015	8	8.6	2.819672131	1.7	5.058823529	04.07.2015	11	12	07.07.2015	14	16	10.07.2015	17	30	11	3.606557377	0.786885246	58	58
3	N-27-4	N-27	infected	21.06.2015	28.06.2015	7	9	2.950819672	1.7	5.294117647	01.07.2015	10	18	04.07.2015	13	27	07.07.2015	16	24	11.9	3.901639344	0.950819672	69	69
4	N-27-4	N-27	infected	29.06.2015	07.07.2015	8	8.1	2.655737705	1.6	5.0625	10.07.2015	11	11	13.07.2015	14	21	14.07.2015	15	5	10.7	3.508196721	0.852459016	37	37
5	N-27-4	N-27	infected	20.06.2015	29.06.2015	9	9	2.950819672	1.7	5.294117647	02.07.2015	12	16	05.07.2015	15	19	08.07.2015	18	26	11.2	3.672131148	0.721311475	61	61
1	N-27-15	N-27	infected	25.06.2015	03.07.2015	8	7.9	2.590163934	1.5	5.266666667	06.07.2015	11	10	09.07.2015	14	23	12.07.2015	17	31	11.4	3.737704918	1.147540984	64	64
2	N-27-15	N-27	infected	22.06.2015	30.06.2015	8	8.5	2.786885246	1.7	5	03.07.2015	11	12	06.07.2015	14	24	09.07.2015	17	29	11.6	3.803278689	1.016393443	65	65
3	N-27-15	N-27	infected	21.06.2015	29.06.2015	8	8.8	2.885245902	1.7	5.176470588	02.07.2015	11	21	05.07.2015	14	23	09.07.2015	18	27	11.6	3.803278689	0.918032787	71	71
4	N-27-15	N-27	infected	21.06.2015	29.06.2015	8	8.5	2.786885246	1.6	5.3125	02.07.2015	11	16	05.07.2015	14	31	08.07.2015	17	26	11.4	3.737704918	0.950819672	73	73
5	N-27-15	N-27	infected	21.06.2015	29.06.2015	8	8.1	2.655737705	1.5	5.4	02.07.2015	11	12	06.07.2015	15	21	09.07.2015	18	26	11	3.606557377	0.950819672	59	59
